Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
5AF_S5_R2_001_val_2	pass	0.0	pass	72.0129609712	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	warn	22433967.0	pass	fail	warn	32.0	81.7912785494	5AF_S5_R2_001_val_2.fq.gz	pass	pass
5HS_S10_R1_001_val_1	pass	0.0	pass	67.4291200918	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	pass	25354611.0	pass	fail	pass	34.0	79.392980349	5HS_S10_R1_001_val_1.fq.gz	pass	pass
5HS_S10_R2_001_val_2	pass	0.0	pass	72.0551811266	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	warn	25354611.0	pass	fail	warn	32.0	81.4380139709	5HS_S10_R2_001_val_2.fq.gz	pass	pass
5PAM_S5_R1_001_val_1	pass	0.0	pass	69.0494744369	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23341630.0	pass	fail	pass	33.0	79.4404462815	5PAM_S5_R1_001_val_1.fq.gz	pass	pass
5PAM_S5_R2_001_val_2	pass	0.0	pass	73.9548567088	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23341630.0	pass	fail	warn	32.0	80.4610431895	5PAM_S5_R2_001_val_2.fq.gz	pass	pass
5ROCA_S15_R1_001_val_1	pass	0.0	pass	69.7969689797	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	21617869.0	pass	fail	pass	33.0	80.0033011163	5ROCA_S15_R1_001_val_1.fq.gz	pass	pass
5ROCA_S15_R2_001_val_2	pass	0.0	pass	73.9578312737	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	21617869.0	pass	fail	warn	32.0	80.7695983269	5ROCA_S15_R2_001_val_2.fq.gz	pass	pass
5_MR_PC_S18_R1_001_val_1	pass	0.0	warn	66.7069879849	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	24323593.0	pass	fail	pass	35.0	67.5627233911	5_MR_PC_S18_R1_001_val_1.fq.gz	pass	pass
5_MR_PC_S18_R2_001_val_2	pass	0.0	pass	73.9910217212	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	24323593.0	pass	fail	warn	33.0	73.4120578854	5_MR_PC_S18_R2_001_val_2.fq.gz	pass	pass
6AF_S1_R1_001_val_1	pass	0.0	pass	68.4886858046	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	18321453.0	fail	fail	pass	32.0	85.5108419241	6AF_S1_R1_001_val_1.fq.gz	fail	pass
6AF_S1_R2_001_val_2	pass	0.0	pass	72.5033004751	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	pass	18321453.0	pass	fail	warn	31.0	82.157770958	6AF_S1_R2_001_val_2.fq.gz	pass	pass
6PAG_S6_R1_001_val_1	pass	0.0	pass	69.1960060892	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	21533280.0	pass	fail	pass	33.0	82.7574044361	6PAG_S6_R1_001_val_1.fq.gz	pass	pass
6PAG_S6_R2_001_val_2	pass	0.0	pass	74.0030953018	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	21533280.0	pass	fail	warn	32.0	83.2744766689	6PAG_S6_R2_001_val_2.fq.gz	pass	pass
6R_FD_S15_R1_001_val_1	pass	0.0	pass	68.6050679891	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	12857289.0	fail	fail	pass	32.0	87.3838678915	6R_FD_S15_R1_001_val_1.fq.gz	fail	pass
6R_FD_S15_R2_001_val_2	pass	0.0	pass	72.4709257138	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	12857289.0	pass	fail	warn	31.0	84.4244709156	6R_FD_S15_R2_001_val_2.fq.gz	pass	pass
6_MR_PM_S19_R1_001_val_1	pass	0.0	pass	68.0991995718	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	15946964.0	pass	fail	pass	35.0	71.8823389857	6_MR_PM_S19_R1_001_val_1.fq.gz	pass	pass
6_MR_PM_S19_R2_001_val_2	pass	0.0	pass	74.0338303893	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	15946964.0	pass	fail	warn	33.0	77.2008858359	6_MR_PM_S19_R2_001_val_2.fq.gz	pass	pass
7AF_S2_R1_001_val_1	pass	0.0	pass	68.9184096993	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	15171068.0	fail	fail	pass	32.0	86.5815101615	7AF_S2_R1_001_val_1.fq.gz	fail	pass
7AF_S2_R2_001_val_2	pass	0.0	pass	72.5163926495	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	15171068.0	pass	fail	warn	31.0	84.0514958391	7AF_S2_R2_001_val_2.fq.gz	pass	pass
7PIL_S7_R1_001_val_1	pass	0.0	pass	69.2991125666	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	26901287.0	pass	fail	pass	33.0	78.1514305018	7PIL_S7_R1_001_val_1.fq.gz	pass	pass
7PIL_S7_R2_001_val_2	pass	0.0	pass	73.9879639959	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	26901287.0	pass	fail	warn	32.0	79.2352271867	7PIL_S7_R2_001_val_2.fq.gz	pass	pass
7R_FV_S16_R1_001_val_1	pass	0.0	pass	68.7011378172	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	8988966.0	fail	fail	pass	33.0	89.1442862923	7R_FV_S16_R1_001_val_1.fq.gz	fail	pass
7R_FV_S16_R2_001_val_2	pass	0.0	pass	72.4668338939	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	8988966.0	pass	fail	warn	31.0	86.3852949507	7R_FV_S16_R2_001_val_2.fq.gz	pass	pass
7_MR_RC_S20_R1_001_val_1	pass	0.0	pass	67.7483818052	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	12848268.0	pass	fail	pass	35.0	73.3046635851	7_MR_RC_S20_R1_001_val_1.fq.gz	pass	pass
7_MR_RC_S20_R2_001_val_2	pass	0.0	pass	74.00644834	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	12848268.0	pass	fail	warn	33.0	78.1215671701	7_MR_RC_S20_R2_001_val_2.fq.gz	pass	pass
8AF_S3_R1_001_val_1	pass	0.0	pass	69.4536542336	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	13900644.0	fail	fail	pass	32.0	86.9380534367	8AF_S3_R1_001_val_1.fq.gz	fail	pass
8AF_S3_R2_001_val_2	pass	0.0	pass	72.515377417	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	13900644.0	pass	fail	warn	31.0	83.7722580551	8AF_S3_R2_001_val_2.fq.gz	pass	pass
8PSN_S8_R1_001_val_1	pass	0.0	pass	69.3060419712	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	27123234.0	pass	fail	pass	33.0	77.3997755755	8PSN_S8_R1_001_val_1.fq.gz	pass	pass
8PSN_S8_R2_001_val_2	pass	0.0	pass	73.9472583542	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	27123234.0	pass	fail	warn	32.0	78.4029702104	8PSN_S8_R2_001_val_2.fq.gz	pass	pass
8R_BM_S17_R1_001_val_1	pass	0.0	pass	69.4767520812	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	13150489.0	fail	fail	pass	32.0	86.2346816464	8R_BM_S17_R1_001_val_1.fq.gz	fail	pass
8R_BM_S17_R2_001_val_2	pass	0.0	pass	72.5029837294	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	13150489.0	pass	fail	warn	31.0	82.4784261538	8R_BM_S17_R2_001_val_2.fq.gz	pass	pass
8_MR_MA_S21_R1_001_val_1	pass	0.0	warn	66.8694309514	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	20770581.0	pass	fail	pass	35.0	67.6726627133	8_MR_MA_S21_R1_001_val_1.fq.gz	pass	pass
8_MR_MA_S21_R2_001_val_2	pass	0.0	pass	73.9847827078	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	20770581.0	pass	fail	warn	33.0	73.0676168579	8_MR_MA_S21_R2_001_val_2.fq.gz	pass	pass
9AF_S4_R1_001_val_1	pass	0.0	pass	69.3942691011	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	17081090.0	fail	fail	pass	32.0	84.4534300594	9AF_S4_R1_001_val_1.fq.gz	fail	pass
9AF_S4_R2_001_val_2	pass	0.0	pass	72.4641927418	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	17081090.0	pass	fail	warn	31.0	81.0614554023	9AF_S4_R2_001_val_2.fq.gz	pass	pass
9P_PA_S12_R1_001_val_1	pass	0.0	pass	68.6414287045	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	14185271.0	fail	fail	pass	32.0	85.9945056437	9P_PA_S12_R1_001_val_1.fq.gz	fail	pass
9P_PA_S12_R2_001_val_2	pass	0.0	pass	72.4638899038	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	14185271.0	pass	fail	warn	31.0	83.0842804086	9P_PA_S12_R2_001_val_2.fq.gz	pass	pass
9R_MV_S18_R1_001_val_1	pass	0.0	pass	69.3565006409	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	13968592.0	fail	fail	pass	32.0	85.120456094	9R_MV_S18_R1_001_val_1.fq.gz	fail	pass
9R_MV_S18_R2_001_val_2	pass	0.0	pass	72.4287795076	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	13968592.0	pass	fail	warn	31.0	80.9788546358	9R_MV_S18_R2_001_val_2.fq.gz	pass	pass
HS10_S10_R1_001_val_1	pass	0.0	pass	67.6919516027	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	19304129.0	fail	fail	pass	33.0	83.8506605077	HS10_S10_R1_001_val_1.fq.gz	fail	pass
HS10_S10_R2_001_val_2	pass	0.0	pass	72.4841394294	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	19304129.0	pass	fail	warn	31.0	81.1362677878	HS10_S10_R2_001_val_2.fq.gz	pass	pass
HS11_S11_R1_001_val_1	pass	0.0	pass	68.791249862	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	12344811.0	fail	fail	pass	32.0	87.6784825158	HS11_S11_R1_001_val_1.fq.gz	fail	pass
HS11_S11_R2_001_val_2	pass	0.0	pass	72.5071060221	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	12344811.0	pass	fail	warn	31.0	83.9367315172	HS11_S11_R2_001_val_2.fq.gz	pass	pass
HS6_S6_R1_001_val_1	pass	0.0	pass	69.1567089395	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	14578243.0	fail	fail	pass	32.0	86.889145744	HS6_S6_R1_001_val_1.fq.gz	fail	pass
HS6_S6_R2_001_val_2	pass	0.0	pass	72.491428631	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	14578243.0	pass	fail	warn	31.0	83.8442477085	HS6_S6_R2_001_val_2.fq.gz	pass	pass
HS7_S7_R1_001_val_1	pass	0.0	pass	67.7168084897	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	30118756.0	fail	fail	pass	33.0	79.4258142477	HS7_S7_R1_001_val_1.fq.gz	fail	pass
HS7_S7_R2_001_val_2	pass	0.0	pass	72.3813838128	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	30118756.0	pass	fail	warn	31.0	76.1485960614	HS7_S7_R2_001_val_2.fq.gz	pass	pass
HS8_S8_R1_001_val_1	pass	0.0	pass	69.094078622	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	14259924.0	fail	fail	pass	32.0	86.534948621	HS8_S8_R1_001_val_1.fq.gz	fail	pass
HS8_S8_R2_001_val_2	pass	0.0	pass	72.4875264412	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	14259924.0	pass	fail	warn	31.0	82.3915952851	HS8_S8_R2_001_val_2.fq.gz	pass	pass
HS9_S9_R1_001_val_1	pass	0.0	pass	68.549510347	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	19147745.0	fail	fail	pass	32.0	83.8870171926	HS9_S9_R1_001_val_1.fq.gz	fail	pass
HS9_S9_R2_001_val_2	pass	0.0	pass	72.4783027975	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	19147745.0	pass	fail	warn	31.0	80.6313049245	HS9_S9_R2_001_val_2.fq.gz	pass	pass
