Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
10AF_S5_R1_001_val_1	76.0	173.5	581.0	1461.0	2383.5	4010.5	7447.0	11525.5	15011.5	21125.0	32033.5	46730.5	59801.5	79090.0	105177.5	133070.0	161060.5	194301.0	238871.0	290498.5	336982.5	384062.5	460973.5	561824.0	639806.0	709280.0	799982.0	871242.5	905800.5	921016.0	916230.0	890254.5	874372.0	857620.0	828528.0	805090.5	792076.0	775952.5	744241.0	704183.0	665583.5	617190.0	550879.0	489127.0	447356.0	404750.0	352597.5	303125.5	267755.5	233228.5	192349.5	154811.0	123507.5	101633.0	80873.0	65212.0	54525.5	46406.0	38259.0	30836.0	25206.0	20477.5	16597.5	13653.0	11317.0	9524.5	7790.5	6378.0	5327.0	4514.5	3754.5	3121.5	2625.5	2195.0	1813.0	1520.5	1302.5	1112.5	911.5	718.5	584.5	484.5	392.0	305.5	240.0	201.5	164.5	123.0	92.0	69.0	46.5	34.5	32.5	27.0	21.0	20.0	19.5	18.0	12.5	6.0	4.0
10AF_S5_R2_001_val_2	2519.0	3138.5	5079.0	7536.5	9355.5	12700.5	18813.5	23931.0	29784.0	40714.0	55845.5	69581.0	82204.5	103650.0	130631.0	154802.0	187310.0	240139.5	302482.5	357394.5	421316.5	501563.5	579876.5	651221.0	712497.5	768758.5	818664.5	851752.0	873745.0	894105.5	907449.0	905879.0	890991.5	869769.0	834693.0	790431.0	750488.5	703386.5	641929.0	570672.0	502031.5	440813.0	383511.0	329028.0	286399.5	244455.0	205349.0	172837.0	144783.5	120592.0	96814.5	77584.5	61450.0	48479.0	36867.5	29075.0	22887.5	19270.5	16031.0	13328.0	11222.0	9570.5	8314.5	7214.5	6282.0	5596.5	4777.5	4027.5	3567.0	3179.5	2776.5	2473.5	2195.0	1945.5	1763.5	1611.0	1493.0	1407.0	1300.5	1201.0	1116.0	1006.5	893.0	800.5	734.5	695.0	663.0	648.5	646.0	654.5	719.0	847.5	980.5	1194.0	1678.0	2495.5	3374.0	4482.0	11387.5	34710.0	51848.0
10P_ER_S13_R1_001_val_1	116.0	229.5	631.0	1449.0	2293.0	3774.0	7076.0	11223.5	14712.5	20629.0	31587.0	46248.5	58790.0	77188.5	101505.5	127205.0	152554.0	182160.5	222955.0	271803.0	315899.5	359155.0	429404.0	519289.5	587364.0	648718.5	727015.5	786294.0	815049.0	826926.0	822393.0	801636.5	789114.5	775522.0	752125.5	731778.0	719209.0	703550.5	672926.0	635532.5	599742.5	555572.0	495992.0	439683.0	400272.5	360889.5	314278.5	270495.0	238414.5	206978.0	170093.5	136729.5	109802.5	90558.0	71837.0	57721.5	47947.0	40240.5	32758.5	26327.5	21469.5	17281.0	13608.0	10886.5	8839.0	7362.0	6046.0	4949.5	4123.5	3494.5	2883.5	2409.0	2059.0	1748.5	1491.0	1275.0	1125.0	967.5	774.0	612.5	502.5	426.5	359.0	268.0	192.5	155.5	123.5	95.5	72.5	51.5	36.0	26.5	22.0	20.0	17.0	13.5	10.0	7.5	8.0	6.5	5.0
10P_ER_S13_R2_001_val_2	2037.0	2569.0	4192.0	6254.0	7787.0	10869.0	16472.5	21208.5	26639.5	36643.5	50807.5	63741.0	75414.0	95489.0	120805.5	142670.0	172452.5	221137.5	278090.5	328737.0	384630.0	455355.5	528023.5	592955.5	648090.5	700010.0	744974.0	773686.0	793696.5	811674.5	822279.5	820518.0	807045.0	787633.5	756154.0	715655.0	678186.5	635518.0	581047.0	516995.5	454635.0	399331.0	347470.0	298149.5	259394.5	220580.0	184407.5	154740.0	129069.0	106977.5	85757.0	68696.0	54345.5	42890.0	32587.5	25503.5	19919.0	16472.5	13342.0	11232.0	9535.5	7985.0	6756.0	5883.0	5169.5	4600.0	3918.5	3283.5	2954.0	2686.5	2392.0	2093.5	1841.5	1670.0	1501.0	1360.0	1242.0	1106.0	1003.5	950.0	883.0	802.0	750.5	659.5	556.5	524.0	507.5	492.0	478.5	501.0	566.5	648.0	718.0	879.0	1229.5	1742.0	2334.0	3142.5	7905.0	23892.5	35633.0
10R_SG_S19_R1_001_val_1	75.0	173.5	627.0	1663.0	2725.0	4649.5	8459.5	12782.0	16650.0	23686.5	36123.0	52549.5	66842.0	87018.0	114383.0	144264.5	173275.0	207542.0	255060.5	311838.5	362352.0	411952.0	494396.0	599528.5	678591.0	750540.0	844801.5	917686.5	951835.5	965851.5	959727.0	932432.5	915370.5	895501.0	863587.5	838289.5	823254.5	805076.0	770834.0	729005.0	688850.0	637918.5	568098.5	503140.0	458182.0	412130.5	357388.5	306964.5	270661.0	234131.5	191723.0	153440.5	121505.0	99022.5	77333.0	61052.0	50108.0	41379.5	33064.5	26002.0	20617.0	16331.0	12628.5	9673.5	7430.5	5927.5	4672.5	3689.0	3000.0	2453.0	1963.0	1582.0	1314.0	1092.0	888.5	747.5	646.0	532.5	407.0	314.5	253.5	203.5	154.5	108.5	84.5	69.0	57.0	48.5	32.5	20.0	14.0	9.5	8.0	11.0	11.5	11.0	14.5	16.5	13.0	6.0	3.0
10R_SG_S19_R2_001_val_2	2597.0	3313.0	5294.0	7709.5	9557.5	13015.0	19033.0	24096.0	30190.5	41585.0	57361.0	71995.5	86023.5	110033.0	139523.5	164657.5	198677.5	254396.0	320941.0	380703.5	445294.5	527574.5	611961.0	687960.5	753411.5	812974.5	864945.5	898055.5	920994.0	942138.0	952261.0	947671.0	932194.0	909303.0	871354.5	824267.0	779975.0	728244.0	663899.5	589142.0	517419.0	454572.5	394717.0	337229.0	291612.0	247039.0	205643.0	172027.0	143726.0	119109.0	95245.5	75532.0	58614.5	45724.0	34514.0	26700.0	20308.0	16353.5	13010.0	10807.5	9006.0	7468.0	6254.0	5347.5	4690.5	4133.0	3584.0	3134.5	2770.5	2454.0	2198.0	1990.5	1805.0	1631.0	1458.5	1291.5	1184.5	1070.0	959.5	890.0	798.0	715.0	672.0	639.0	593.0	550.0	552.5	586.0	614.0	611.5	646.5	762.0	902.5	1145.5	1634.5	2444.0	3364.5	4604.5	11403.5	35090.5	52789.0
11P_DS_S14_R1_001_val_1	78.0	161.0	533.0	1272.0	2018.5	3285.0	6243.5	10329.0	13865.0	19312.5	29460.5	43439.0	55405.0	72441.0	95314.5	119330.0	143043.5	170941.0	209341.5	254710.0	295865.5	338805.5	408291.5	496527.5	564773.5	626485.0	703125.5	762005.5	792500.5	807453.5	807212.0	791719.0	784756.0	775845.5	757074.0	740563.5	729687.5	713890.0	684203.0	648532.5	613315.0	569200.0	510366.0	455477.5	416909.5	379302.5	333289.0	289158.0	257309.5	225147.5	187721.0	153811.5	125748.0	105380.5	85645.0	70483.5	59818.5	51311.5	42837.0	35169.5	29016.5	23770.0	19428.5	16133.0	13363.0	11387.5	9682.5	8209.0	7090.0	6118.0	5267.0	4601.0	4022.0	3463.5	2939.5	2536.0	2221.0	1903.0	1532.5	1223.5	1036.5	870.0	688.5	516.0	387.5	299.5	232.5	181.5	145.5	115.0	91.0	58.0	40.5	45.0	37.5	24.5	21.0	23.5	16.5	6.0	5.0
11P_DS_S14_R2_001_val_2	2354.0	2598.0	3943.5	6012.0	7509.5	10159.5	15342.0	19886.0	25188.5	34901.0	48353.0	60605.0	71497.0	89893.5	112913.5	133377.0	161809.5	207687.0	261504.5	309334.0	361758.0	427946.0	496435.5	559830.5	616115.0	669588.5	716503.0	748426.5	772198.5	794511.0	810864.5	815233.0	806524.0	791634.0	765549.5	729984.0	694346.0	651575.5	597876.0	534215.0	471094.5	414177.0	360673.0	309705.0	269742.0	230709.5	193872.0	162980.0	136626.5	113874.0	91817.0	73894.0	58125.0	45735.5	35126.0	27787.0	21837.0	18215.0	14942.0	12671.5	11021.5	9461.5	8084.0	7007.0	6180.5	5496.0	4645.0	3888.0	3459.0	3085.5	2712.0	2453.5	2189.5	1930.0	1695.0	1527.5	1420.0	1320.5	1257.0	1177.5	1095.0	1020.5	929.5	825.0	720.5	651.0	582.5	530.5	519.5	524.0	575.5	640.5	702.5	844.5	1163.0	1729.0	2380.0	3226.0	8064.5	24803.0	37255.0
11R_GA_S20_R1_001_val_1	88.0	184.0	544.5	1360.5	2273.5	3763.0	6863.0	10520.5	13655.5	19483.5	29842.0	43855.0	56483.5	74694.0	99826.0	127233.0	154895.5	188234.0	233878.5	287690.5	336821.5	386732.5	464703.0	564592.0	644929.0	719010.0	813841.5	892142.0	936283.5	961291.5	967233.0	952428.5	943356.5	930716.5	905283.0	882671.0	867596.0	850373.5	818168.0	775979.0	734582.5	682896.5	614774.0	551280.0	505999.5	460069.5	404491.5	352105.0	312748.5	273974.0	230089.0	188470.5	152815.5	126780.5	101808.5	82239.5	68459.5	57445.5	46763.5	37494.0	30053.0	23750.5	18748.0	14934.5	11760.0	9361.5	7464.5	5956.0	4865.5	4055.5	3337.5	2780.0	2343.5	1941.5	1588.5	1323.0	1102.5	921.5	738.0	574.5	452.0	359.5	279.5	193.5	131.5	97.5	79.5	70.0	51.0	31.0	21.0	17.0	15.0	13.5	13.0	16.0	19.5	21.0	18.5	9.5	4.0
