	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
10AF_S5_R1_001_val_1	31.0418750416	30.7641251368	17.8725500987	31.2059655874	31.1707096058	33.6454575632	33.6036597763	33.8049081305	33.960386445	34.0627751263	34.1789359721	34.2468448943	34.2245128411	34.2677602256	34.3541571842	34.3566737135	34.4210730943	34.4229826807	34.4488380927	34.5095802293	34.5084283546	34.4504235085	34.4606761682	34.364041569	34.3045088191	34.129335656	34.1216481577	34.1356410348	34.0445913525	33.9675755753	34.0027779826	34.0105572514	33.9801194542	33.9099072827	33.8842657281	33.9587835225	33.870107228	33.8532110486	33.9041532511	33.9127184847	33.7998533725	33.8161647908	33.8098900991	33.7178718753	33.6711648206	33.6129914532	33.3533868536	33.3857893603	33.4338391105	33.3049109834	33.285404325	33.2893134931	33.2459345383	33.133334241	33.134936175	33.0110034654	32.8756983501	32.8556536515	32.8479207649	32.8133241141	32.6961914833	32.7020645169	32.6105705331	32.6121419339	32.5084535254	32.4750946615	32.4705418156	32.4295482477	32.3807099181	32.4069082445	32.367164893	32.4217082764	32.3721867163	32.7757509322	34.6869975938
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
10AF_S5_R2_001_val_2	30.6244609613	30.585768609	30.644392061	31.6230869848	31.6036599124	33.3852670729	33.5032120598	33.5993237798	33.6371894727	33.5988616809	33.5968488387	33.6064624543	33.4934248083	33.4160130136	33.4769899772	33.4808615607	33.3654228252	33.4270087055	33.3508873025	33.2991090934	33.2352347421	33.1664575785	33.0533693155	32.9728958979	32.9345919571	32.8729127067	32.8836898808	32.7656107097	32.6728560392	32.698547297	32.6393575412	32.5687294177	32.5207210992	32.5088742916	32.5001893477	32.4106506181	32.3927220503	32.3323161893	32.2592337982	32.1601784841	32.1364696261	32.1713158373	32.0324678804	31.9815175023	31.9180019809	31.8986000122	31.9334872515	31.8704154258	31.7249686848	31.6445737911	31.7229827052	31.6597263642	31.570252863	31.5215967105	31.5103394128	31.5214945562	31.4712806443	31.3555512082	31.277139335	31.3064614949	31.1586612443	31.028082025	30.942116768	30.7630491624	30.759300366	30.7177514825	30.680436055	30.6854706455	30.6140336539	30.6658941129	30.5617872191	30.5836158919	31.1929422309	30.7398115782	33.4867315128
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
10P_ER_S13_R1_001_val_1	31.0618546179	30.8118722289	18.108766194	31.2396491414	31.2030789988	33.7074095708	33.6597859707	33.8722930358	34.0362264845	34.1447426703	34.255412802	34.3203434448	34.2987813057	34.3459630919	34.4280398379	34.4260418749	34.4877818901	34.4928913252	34.52047116	34.5788244612	34.5743163552	34.5236321253	34.5323535825	34.4424531925	34.37888699	34.2236049324	34.2129085125	34.2311606509	34.1359829729	34.0667954188	34.0980528853	34.1068435732	34.0744369293	34.0162892643	33.9898417413	34.0503981945	33.9682148653	33.957450754	34.0058099266	34.0113900545	33.9063319742	33.9235394694	33.9170729773	33.8258058361	33.7782765881	33.7176876824	33.4642064423	33.5033345219	33.5446045038	33.4201662015	33.4040474203	33.4098049259	33.365659408	33.2552107056	33.252246297	33.133041763	32.9954754297	32.9782384827	32.9674532878	32.9330653822	32.8168559962	32.8184208067	32.7374549945	32.7396667731	32.63665681	32.6003197741	32.5965926842	32.5510638847	32.5001971433	32.5311419448	32.480702848	32.5350490604	32.4728387759	32.864677022	34.7087715746
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
10P_ER_S13_R2_001_val_2	30.5966204806	30.4849291378	30.5473011203	31.4378970261	31.3325743217	33.0496452947	33.225301418	33.3477546047	33.3925421248	33.3476827339	33.3492448911	33.365008101	33.2437932398	33.1720221047	33.2356770972	33.2450788784	33.1276769993	33.1896618408	33.1007605237	33.0571927794	32.9956711989	32.9122466599	32.7963211776	32.7118616876	32.6726215152	32.6136329571	32.6201766427	32.4976600242	32.3940315822	32.4211018679	32.3601645324	32.2929935261	32.2393783846	32.2276141698	32.2203437903	32.1364699372	32.1130008766	32.0386777449	31.9631060363	31.856958734	31.8273743706	31.8628633964	31.7237133281	31.6627377118	31.5948610317	31.5861606116	31.6189638047	31.5451143838	31.3966784359	31.3037966486	31.3827574614	31.3204890159	31.2240556478	31.1658020431	31.157510093	31.1732123919	31.1260660482	31.0059987633	30.9257683706	30.961410515	30.8069942078	30.6806873433	30.5755663389	30.3989943085	30.3880236212	30.3383302271	30.3043721997	30.3044267488	30.2269220699	30.2866363715	30.1739828857	30.196577363	30.8077695819	30.3491721981	33.3594680926
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
10R_SG_S19_R1_001_val_1	31.0461822505	30.77595826	18.0938100269	31.2197954753	31.1783858892	33.6728466769	33.6141743025	33.8280457733	33.9927230027	34.1018733259	34.2152042853	34.2828827243	34.2543312389	34.3009612655	34.3867470439	34.3827369114	34.4458972986	34.4543467939	34.4792993536	34.5408348303	34.5392684664	34.4802819935	34.491841216	34.4012117339	34.3361340596	34.1718577692	34.1634345787	34.1766091992	34.0809986866	34.0070425465	34.0369054551	34.0446923393	34.0151782918	33.9506676576	33.9245301635	33.9945179812	33.9103404464	33.895611653	33.9474331815	33.9537937275	33.8427270096	33.861866734	33.8558459107	33.7669543426	33.7145827361	33.6564867172	33.3919593468	33.4338689966	33.4782688114	33.352454423	33.3352360334	33.3380182555	33.2963480394	33.1785539142	33.1745755431	33.0563805933	32.9196460896	32.9051258597	32.8929928263	32.8616917658	32.7480457472	32.7483192111	32.6632798134	32.662697754	32.5586932011	32.5229111672	32.5183371185	32.4783154169	32.4245396661	32.4538551111	32.4064301775	32.4625339593	32.4108472107	32.8114925708	34.6931048642
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
10R_SG_S19_R2_001_val_2	30.5698703996	30.4613358092	30.5055349023	31.3932370211	31.2986250853	33.0295236367	33.200729045	33.3164554135	33.3607203964	33.322676281	33.324597924	33.3416352896	33.2229383969	33.148471681	33.2102641213	33.2211574145	33.1065327566	33.1656131381	33.0788721216	33.0383981829	32.979594152	32.899819427	32.7844694543	32.704954252	32.6680452852	32.6021975706	32.6077611981	32.4931195065	32.385211085	32.4116686349	32.3528321209	32.2852242488	32.2304537076	32.2255769884	32.2147097008	32.1256167296	32.1112114132	32.0384976276	31.9580852565	31.8543448639	31.8259713456	31.8656460165	31.7207300834	31.6621481285	31.590377963	31.5808744713	31.6171259097	31.5497282568	31.3970714889	31.2988643995	31.3824780276	31.3214844986	31.2246594574	31.1723211989	31.1564671858	31.1799221989	31.1275756493	31.0074749287	30.9303582117	30.9611386981	30.8082867693	30.6809074085	30.5764527248	30.3975224999	30.3886526891	30.34210754	30.3064017816	30.3087593011	30.2299902376	30.2882921358	30.1803096688	30.2009224706	30.8210250194	30.3700733177	33.3616017055
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
11P_DS_S14_R1_001_val_1	31.0487157228	30.7901163076	18.1429566152	31.2214082797	31.1835936391	33.6792949816	33.6253110619	33.8448850761	34.0074375612	34.1147291484	34.2333413728	34.2937284968	34.2715920657	34.3178597805	34.3975526277	34.3986707592	34.4624691114	34.4652133202	34.493117191	34.5511629362	34.5460478647	34.4895145527	34.4999413389	34.4069329797	34.3457395824	34.183975579	34.1771597063	34.1954717499	34.1039240843	34.028891137	34.0586445536	34.0661588426	34.039188738	33.9751935353	33.9439660722	34.0113215773	33.9269528059	33.9093203165	33.9599733208	33.9694508282	33.8593524686	33.8820583103	33.8691154215	33.782428876	33.7343394601	33.6691298838	33.4200037693	33.4536970917	33.4989753236	33.3760863404	33.3566197826	33.3563173878	33.3137668044	33.2029986278	33.1961676475	33.0763705369	32.9491904304	32.9228792818	32.90944894	32.8776694732	32.7602323857	32.7659219651	32.676982176	32.6804629308	32.5755362438	32.5455100369	32.5345017742	32.4897086874	32.4378516887	32.4671722356	32.4197840996	32.4768081228	32.4203486126	32.8202780377	34.6961939474
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
11P_DS_S14_R2_001_val_2	30.5763577125	30.473941557	30.5203930162	31.4031722697	31.2813901519	33.0274703158	33.2179396881	33.3286458334	33.3675453831	33.3258363151	33.3206888992	33.3464962072	33.2230080969	33.154134525	33.2151449269	33.2169057097	33.1087567747	33.1714108867	33.0793867327	33.0351377088	32.9649553606	32.8808653017	32.7668348756	32.6826381666	32.6456564186	32.5887577488	32.5869680138	32.4715259634	32.3700922865	32.3924130732	32.3363893997	32.2707878466	32.2032022674	32.1995485926	32.1830455221	32.0980070681	32.0860810379	32.0047047243	31.9348394036	31.8285840423	31.8029236857	31.8415241023	31.6922640193	31.6381660105	31.5772641381	31.5748228827	31.6052428252	31.5356155988	31.3902805896	31.2996863413	31.3743289041	31.3059317887	31.211295716	31.1556725874	31.1455665116	31.1584809712	31.1100673206	30.9901999191	30.9130476428	30.9460533102	30.8011305254	30.6726266885	30.567371411	30.385998557	30.3745174157	30.3261782621	30.2809707572	30.2967860413	30.2198713441	30.272802789	30.1580062114	30.1874578967	30.7849663388	30.3342011285	33.3541709153
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
11R_GA_S20_R1_001_val_1	31.0456939906	30.7283603306	18.1260653494	31.1864429528	31.1531735122	33.6239862724	33.583454398	33.7902353613	33.9502808227	34.0570007473	34.1687149021	34.2356776741	34.218199644	34.2602931278	34.3430877529	34.3460937868	34.4112432191	34.4084745141	34.4351259717	34.4939056003	34.4887738831	34.4290593986	34.4384099754	34.3425810225	34.2836461801	34.1073995583	34.106220693	34.1255353198	34.0323609436	33.959304841	33.990423326	33.9991793565	33.9687235255	33.9018125399	33.8735529372	33.9489306576	33.8607106681	33.846193597	33.8947774647	33.904528288	33.789755393	33.8032479913	33.7970202387	33.6992719966	33.6571890176	33.6015065686	33.3412869177	33.3791379509	33.4295548955	33.2979525607	33.277140446	33.2774220103	33.2377550949	33.1202510463	33.1190362276	32.9910114165	32.857580199	32.8381272625	32.8238620962	32.7992430893	32.6816067917	32.6825147081	32.5952694543	32.5900773188	32.480768824	32.4549041732	32.4393602498	32.4037387079	32.3466079335	32.3666556725	32.3284052011	32.3822392962	32.3393868478	32.7511948394	34.6758971961
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
11R_GA_S20_R2_001_val_2	30.4054799882	30.3138685536	30.3836396842	31.3122787331	31.2069852147	32.8236733455	33.0233137289	33.1341989096	33.1780502971	33.1409661027	33.1447946662	33.1577078807	33.0306184465	32.9616339404	33.0256574252	33.0268876686	32.9142192006	32.9790119492	32.8890620138	32.8383440036	32.7727155714	32.6872472263	32.5727480382	32.4916146411	32.4455115542	32.3834592074	32.3899232459	32.2617939216	32.1610401574	32.1945458411	32.134675237	32.0591875116	32.0121738146	32.0037096286	31.9929638767	31.9070088878	31.8874080988	31.8090936172	31.7417797475	31.635851849	31.6035979018	31.6367356256	31.4991212309	31.44565399	31.3879305995	31.3693848107	31.3964062675	31.3347877793	31.1889471019	31.0947900773	31.1637055931	31.1012870005	31.0156314063	30.9582339184	30.9439474837	30.9564023858	30.9101362406	30.7922292529	30.7075560448	30.7450978112	30.5966800638	30.4570759705	30.3564028789	30.1743351045	30.1779368871	30.1214358961	30.0830460519	30.1034996782	30.0185547917	30.0718145545	29.9810827313	30.0233382398	30.6952580209	30.1570194063	33.311534282
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_HS_S1_R1_001_val_1	36.2819292261	36.3349240739	36.2371752523	36.4922585777	36.384920545	36.3542117906	36.3614298647	36.3717511642	36.4028021281	36.4062676928	36.4168080755	36.3898623277	36.382972971	36.3538089752	36.3028006265	36.2565693415	36.2436465772	36.1269832211	36.1171297438	36.1313418592	36.0969744273	36.0790939035	36.0568870396	36.0445304309	36.0347450601	36.0094148091	35.9349271559	35.8833061603	35.8652160727	35.8481996866	35.8052890858	35.7822355049	35.7445536238	35.6571990941	35.6447151812	35.6260774984	35.5519239474	35.5007172252	35.3791206549	35.4056535526	35.4526077264	35.4933953349	36.3401865681
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_HS_S1_R2_001_val_2	34.8072134801	35.3896329943	35.5716622096	35.5601006943	35.2969693968	35.1481755553	35.1852411795	35.2612637801	35.3351377232	35.2950153392	35.340140112	35.3567761072	35.4047996874	35.3587737591	35.3882504791	35.2472612849	35.2351210068	35.2009956025	35.2201061034	35.1604727361	35.1184022726	35.0770632033	35.0579103926	35.0531505592	34.9632010418	34.9004197714	34.8420512579	34.8549282937	34.838547283	34.7230259122	34.6953712005	34.6713098672	34.7269878546	34.6802162693	34.6642854457	34.63187413	34.5681348246	34.5672094771	34.6293515909	34.6059384472	34.6844226019	34.8216968489	35.9468009623
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_P_DGG_S22_R1_001_val_1	36.2670904859	36.3095147909	36.2166435036	36.4752939703	36.373785504	36.3332541599	36.3346854866	36.3336764286	36.3713320448	36.3752683234	36.3892876508	36.3531905297	36.3496626399	36.3226858387	36.2651209361	36.2185502544	36.2168653913	36.077821958	36.0597542045	36.0767594125	36.0441263468	36.0202420407	35.9952725133	35.9840057051	35.9666171141	35.9369954172	35.8681216464	35.8174398354	35.8000088939	35.7831152035	35.736184542	35.7167655095	35.6871245476	35.597208146	35.581266848	35.5700726122	35.4915411779	35.4348011983	35.3169712396	35.3482069379	35.3961874493	35.4371297964	36.3180370222
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_P_DGG_S22_R2_001_val_2	34.699303631	35.3329132754	35.550666975	35.5028803229	35.2450368279	35.0751298	35.0969072353	35.1835848549	35.2710117952	35.2588978875	35.3211116162	35.3440921429	35.3932214424	35.4117283567	35.4294759947	35.303385317	35.2310974773	35.180264038	35.2112674474	35.1554226368	35.1290308315	35.0882382839	35.0625470827	35.0576923022	34.9690285424	34.9062270879	34.833636789	34.8477996224	34.8354654981	34.712645922	34.7068024046	34.6762473941	34.7534361055	34.7082088416	34.7012732242	34.6624429661	34.6016588109	34.5894396444	34.6592150248	34.6343142317	34.7048467929	34.8394266561	35.9659237284
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_R_EU_S8_R1_001_val_1	36.2689205647	36.3103106531	36.2246924067	36.4844996676	36.3765818612	36.3445024745	36.3395272793	36.3421453609	36.3774222913	36.3834894112	36.3940974511	36.3577260241	36.3569932947	36.3309727333	36.2836866888	36.2336761944	36.2325148356	36.0913489598	36.0734030267	36.0893593227	36.0559763	36.0270652155	36.0115271466	36.000045661	35.9865584796	35.9590526991	35.8920966511	35.8409946163	35.8245275916	35.818488606	35.7752891216	35.7467389994	35.7110613821	35.6223045324	35.6128752065	35.6001745868	35.5230915923	35.4658730521	35.3509374451	35.387896037	35.4380076105	35.4877010741	36.3346591266
