Sample	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-percent_gc	Bismark_mqc-generalstats-percent_aligned	Bismark_mqc-generalstats-percent_chh_meth	Bismark_mqc-generalstats-percent_cpg_meth	FastQC_mqc-generalstats-total_sequences	Bismark_mqc-generalstats-aligned_reads	FastQC_mqc-generalstats-avg_sequence_length	Bismark_mqc-generalstats-percent_chg_meth	Bismark_mqc-generalstats-total_c	FastQC_mqc-generalstats-percent_duplicates
17_P_FA_S27_R1_001_val_1		9.09090909091	35.0	41.760663344	0.4	21.1	10172700.0	4248187.0	68.0831016348	0.5	154260413.0	30.2924281775
17_P_FA_S27_R2_001	0.70101309209											
17_P_FA_S27_R2_001_val_2		9.09090909091	34.0				10172700.0		73.9175493232			23.2523528618
17_R_SN_S13_R1_001	9.18290732015											
17_R_SN_S13_R1_001_val_1		9.09090909091	35.0	41.177066578	0.5	58.7	19236414.0	7920991.0	67.6829212555	0.6	274920680.0	30.9404505907
17_R_SN_S13_R2_001	0.683663705251											
17_R_SN_S13_R2_001_val_2		9.09090909091	33.0				19236414.0		74.0009377008			25.0640678827
18_HS_S7_R1_001	10.0226299831											
18_HS_S7_R1_001_val_1		9.09090909091	35.0	40.9560317658	0.5	58.6	19447199.0	7964801.0	67.0695948553	0.6	272228499.0	33.989790735
18_HS_S7_R2_001	0.683328238268											
18_HS_S7_R2_001_val_2		9.09090909091	33.0				19447199.0		73.9677940252			28.3038943586
18_P_CD_S28_R1_001	7.96493459066											
18_P_CD_S28_R1_001_val_1		9.09090909091	35.0	40.6947326745	0.5	52.7	17811772.0	7248453.0	68.8121810677	0.6	253397274.0	28.6594183016
18_P_CD_S28_R2_001	0.677643421877											
18_P_CD_S28_R2_001_val_2		9.09090909091	33.0				17811772.0		74.0392130553			23.2639537505
18_R_GS_S14_R1_001	8.80014181982											
18_R_GS_S14_R1_001_val_1		9.09090909091	35.0	40.0681870069	0.7	58.8	14524468.0	5819691.0	68.0280938345	0.8	201826482.0	27.3147368348
18_R_GS_S14_R2_001	0.677461766358											
18_R_GS_S14_R2_001_val_2		9.09090909091	33.0				14524468.0		74.0398661073			22.5767395728
19_P_CS_S29_R1_001	7.85584851139											
19_P_CS_S29_R1_001_val_1		9.09090909091	35.0	42.5669785212	0.5	57.9	19714641.0	8391927.0	68.79396059	0.6	292332353.0	29.6976455003
19_P_CS_S29_R2_001	0.670305738783											
19_P_CS_S29_R2_001_val_2		9.09090909091	33.0				19714641.0		74.0465252195			24.3482080312
19_R_AG_S15_R1_001	9.20297643142											
19_R_AG_S15_R1_001_val_1		9.09090909091	36.0	38.357265376	0.5	58.1	14218803.0	5453944.0	67.7014063701	0.6	188307968.0	28.7653006177
19_R_AG_S15_R2_001	0.680894710947											
19_R_AG_S15_R2_001_val_2		9.09090909091	33.0				14218803.0		74.0251896028			23.4574628041
1AF_S1_R1_001	7.1275794024											
1AF_S1_R1_001_val_1		9.09090909091	34.0	38.4968683275	0.7	62.7	30085681.0	11582045.0	67.2008474064	0.7	402022063.0	19.9478268149
1AF_S1_R2_001	0.683022135671											
1AF_S1_R2_001_val_2		9.09090909091	32.0				30085681.0		72.0707036015			17.8293421404
1HS_S6_R1_001	6.60086197474											
1HS_S6_R1_001_val_1		9.09090909091	34.0	44.5286299969	0.6	63.0	24725937.0	11010121.0	67.6136081719	0.7	382353190.0	22.8054781992
1HS_S6_R2_001	0.686312938936											
1HS_S6_R2_001_val_2		9.09090909091	32.0				24725937.0		71.9833975149			20.456837945
1MRLA_S9_R1_001	6.46278772972											
1MRLA_S9_R1_001_val_1		9.09090909091	33.0	36.2300677349	0.6	62.4	24812032.0	8989416.0	69.3123516849	0.7	320814363.0	18.9242191532
1MRLA_S9_R2_001	0.632464834978											
1MRLA_S9_R2_001_val_2		9.09090909091	32.0				24812032.0		73.9948155798			18.2228657237
1PEM_S1_R1_001	6.60655560517											
1PEM_S1_R1_001_val_1		9.09090909091	33.0	37.676480513	0.6	61.1	19923517.0	7506480.0	69.2008809489	0.7	266854442.0	17.9270101176
1PEM_S1_R2_001	0.631998928984											
1PEM_S1_R2_001_val_2		9.09090909091	31.0				19923517.0		73.970946495			17.337001794
1RDAS_S11_R1_001	6.8396862266											
1RDAS_S11_R1_001_val_1		9.09090909091	33.0	39.3500239251	0.6	63.0	22668619.0	8920107.0	69.001949435	0.6	316029908.0	22.126148764
1RDAS_S11_R2_001	0.627841115846											
1RDAS_S11_R2_001_val_2		9.09090909091	32.0				22668619.0		73.9277897785			20.4476044568
20_P_ES_S30_R1_001	8.13807821058											
20_P_ES_S30_R1_001_val_1		9.09090909091	35.0	40.9075844582	0.5	54.0	17892748.0	7319491.0	68.6024284252	0.6	253934206.0	28.9467350188
20_P_ES_S30_R2_001	0.67657828713											
20_P_ES_S30_R2_001_val_2		9.09090909091	33.0				17892748.0		74.0189656726			23.6659971109
21_P_ME_S31_R1_001	9.21559301706											
21_P_ME_S31_R1_001_val_1		9.09090909091	35.0	41.700079077	0.5	57.9	23365819.0	9743565.0	68.0524847	0.6	339392140.0	32.2812054192
21_P_ME_S31_R2_001	0.67532183806											
21_P_ME_S31_R2_001_val_2		9.09090909091	33.0				23365819.0		74.0196237932			26.8581070528
22_P_CE_S32_R1_001	8.21634374974											
22_P_CE_S32_R1_001_val_1		9.09090909091	35.0	40.8994122458	0.5	58.5	20671055.0	8454340.0	68.4040910345	0.6	292437897.0	31.0190642286
22_P_CE_S32_R2_001	0.672038126598											
22_P_CE_S32_R2_001_val_2		9.09090909091	33.0				20671055.0		74.030659393			25.7504795132
23_P_FA_S33_R1_001	7.89500108189											
23_P_FA_S33_R1_001_val_1		9.09090909091	35.0	42.2524319901	0.5	58.6	21027121.0	8884470.0	68.7712030572	0.6	310460483.0	31.0244589266
23_P_FA_S33_R2_001	0.66980160307											
23_P_FA_S33_R2_001_val_2		9.09090909091	33.0				21027121.0		74.0099702665			25.2963165212
2AF_S2_R1_001	7.11310544288											
2AF_S2_R1_001_val_1		9.09090909091	34.0	41.2851437048	0.6	63.5	27578659.0	11385889.0	67.2264978511	0.7	395083853.0	22.0802916181
2AF_S2_R2_001	0.68225121381											
2AF_S2_R2_001_val_2		9.09090909091	32.0				27578659.0		72.0349643541			19.6903286287
2HS_S7_R1_001	6.59335434357											
2HS_S7_R1_001_val_1		9.09090909091	34.0	38.2984094842	0.7	61.9	27164961.0	10403748.0	67.623534523	0.7	361564138.0	18.7333779941
2HS_S7_R2_001	0.677309963187											
2HS_S7_R2_001_val_2		9.09090909091	32.0				27164961.0		72.0754746528			16.9498396584
2MRPF_S10_R1_001	6.68646851873											
2MRPF_S10_R1_001_val_1		9.09090909091	33.0	38.9640175924	0.6	62.5	21985605.0	8566475.0	69.1343758791	0.6	305317122.0	20.6426294043
2MRPF_S10_R2_001	0.631746386009											
2MRPF_S10_R2_001_val_2		9.09090909091	32.0				21985605.0		73.9182576054			19.7458688005
2PSL_S2_R1_001	6.56417662861											
2PSL_S2_R1_001_val_1		9.09090909091	33.0	40.1621218954	0.6	63.6	21260916.0	8538835.0	69.2500170736	0.7	303209052.0	21.6692515486
2PSL_S2_R2_001	0.628413571064											
2PSL_S2_R2_001_val_2		9.09090909091	32.0				21260916.0		73.9391650858			20.2662872122
2RDAM_S12_R1_001	5.50018231833											
2RDAM_S12_R1_001_val_1		9.09090909091	33.0	35.9705709818	0.7	63.3	22229080.0	7995927.0	70.0926612347	0.7	285468849.0	17.8092419093
2RDAM_S12_R2_001	0.623859690375											
2RDAM_S12_R2_001_val_2		9.09090909091	32.0				22229080.0		74.0246302591			17.2526237906
3HS_S8_R1_001	7.10898791733											
3HS_S8_R1_001_val_1		9.09090909091	34.0	40.7427888488	0.6	62.7	23192136.0	9449123.0	67.2174613843	0.7	326296470.0	19.6741761953
3HS_S8_R2_001	0.686756923504											
3HS_S8_R2_001_val_2		9.09090909091	32.0				23192136.0		72.0270139844			17.645063288
3PDR_S3_R1_001	6.28219335809											
3PDR_S3_R1_001_val_1		9.09090909091	33.0	37.8662697265	0.6	61.7	23911579.0	9054423.0	69.4848071723	0.6	322641879.0	19.6473032388
3PDR_S3_R2_001	0.626198784906											
3PDR_S3_R2_001_val_2		9.09090909091	32.0				23911579.0		73.9852739963			19.1073433743
3RAM_S13_R1_001	7.19327221926											
3RAM_S13_R1_001_val_1		9.09090909091	33.0	36.6689187395	0.6	62.9	23381423.0	8573715.0	68.7305829076	0.6	304771137.0	19.6598676126
3RAM_S13_R2_001	0.638365613554											
3RAM_S13_R2_001_val_2		9.09090909091	32.0				23381423.0		73.9758283317			18.5120657833
3_MR_MF_S16_R1_001	9.09931159055											
3_MR_MF_S16_R1_001_val_1		9.09090909091	35.0	41.4391097284	0.5	57.8	21225164.0	8795519.0	67.9137925153	0.6	303922981.0	31.2436786076
3_MR_MF_S16_R2_001	0.679406831117											
3_MR_MF_S16_R2_001_val_2		9.09090909091	33.0				21225164.0		74.0155665228			25.7300441136
4AF_S4_R1_001	6.87872166744											
4AF_S4_R1_001_val_1		9.09090909091	34.0	39.8075506433	0.7	63.1	26134356.0	10403447.0	67.3976572447	0.7	358470380.0	18.8837614093
4AF_S4_R2_001	0.681621899498											
4AF_S4_R2_001_val_2		9.09090909091	32.0				26134356.0		72.0689311036			16.9711677547
4HS_S9_R1_001	7.16888162819											
4HS_S9_R1_001_val_1		9.09090909091	34.0	38.8759893414	0.6	62.6	28266280.0	10988796.0	67.1804231756	0.7	380579082.0	20.4934535576
4HS_S9_R2_001	0.682280442503											
4HS_S9_R2_001_val_2		9.09090909091	32.0				28266280.0		72.0545395432			17.9420703305
4PSR_S4_R1_001	6.40935660183											
4PSR_S4_R1_001_val_1		9.09090909091	33.0	38.1248076005	0.6	62.8	23593483.0	8994970.0	69.359226444	0.7	319982725.0	20.3144634263
4PSR_S4_R2_001	0.628939860189											
4PSR_S4_R2_001_val_2		9.09090909091	32.0				23593483.0		73.9553352085			19.6482925146
4RRS_S14_R1_001	6.56515294795											
4RRS_S14_R1_001_val_1		9.09090909091	33.0	35.3828252539	0.6	61.2	20534813.0	7265797.0	69.231958723	0.7	257328870.0	18.0293367237
4RRS_S14_R2_001	0.631761941524											
4RRS_S14_R2_001_val_2		9.09090909091	32.0				20534813.0		73.9663052203			17.5219158745
4_MR_CL_S17_R1_001	7.45023131539											
4_MR_CL_S17_R1_001_val_1		9.09090909091	35.0	44.1821692734	0.7	59.7	30770524.0	13595085.0	69.0538113033	0.8	472055280.0	37.1095580813
4_MR_CL_S17_R2_001	0.664976449144											
4_MR_CL_S17_R2_001_val_2		9.09090909091	33.0				30770524.0		73.9941832645			30.5416173875
5AF_S5_R1_001	6.18894747088											
5AF_S5_R1_001_val_1		9.09090909091	33.0	43.592655726	0.6	62.2	22433967.0	9779562.0	67.9288929149	0.7	339461809.0	20.0207801089
5AF_S5_R2_001	0.678067604939											
5AF_S5_R2_001_val_2		9.09090909091	32.0				22433967.0		72.0129609712			18.2087214506
5HS_S10_R1_001	6.8476633142											
5HS_S10_R1_001_val_1		9.09090909091	34.0	40.7108040427	0.6	63.5	25354611.0	10322066.0	67.4291200918	0.7	359496818.0	20.607019651
5HS_S10_R2_001	0.680972315256											
5HS_S10_R2_001_val_2		9.09090909091	32.0				25354611.0		72.0551811266			18.5619860291
5PAM_S5_R1_001	6.80568354766											
5PAM_S5_R1_001_val_1		9.09090909091	33.0	37.7755109647	0.6	61.7	23341630.0	8817420.0	69.0494744369	0.6	313834158.0	20.5595537185
5PAM_S5_R2_001	0.631822957797											
5PAM_S5_R2_001_val_2		9.09090909091	32.0				23341630.0		73.9548567088			19.5389568105
5ROCA_S15_R1_001	5.88033154893											
5ROCA_S15_R1_001_val_1		9.09090909091	33.0	38.7455951371	0.6	62.6	21617869.0	8375972.0	69.7969689797	0.7	298836916.0	19.9966988837
5ROCA_S15_R2_001	0.62264210535											
5ROCA_S15_R2_001_val_2		9.09090909091	32.0				21617869.0		73.9578312737			19.2304016731
5_MR_PC_S18_R1_001	10.3397801691											
5_MR_PC_S18_R1_001_val_1		9.09090909091	35.0	37.995283016	0.5	58.3	24323593.0	9241818.0	66.7069879849	0.6	316111071.0	32.4372766089
5_MR_PC_S18_R2_001	0.693101729696											
5_MR_PC_S18_R2_001_val_2		9.09090909091	33.0				24323593.0		73.9910217212			26.5879421146
6AF_S1_R1_001	6.18577398007											
6AF_S1_R1_001_val_1		36.3636363636	32.0	40.0369228358	0.5	58.1	18321453.0	7335346.0	68.4886858046	0.7	254239262.0	14.4891580759
6AF_S1_R2_001	0.672574682736											
6AF_S1_R2_001_val_2		9.09090909091	31.0				18321453.0		72.5033004751			17.842229042
6PAG_S6_R1_001	6.59045186929											
6PAG_S6_R1_001_val_1		9.09090909091	33.0	34.9326623719	0.6	62.7	21533280.0	7522148.0	69.1960060892	0.7	266919440.0	17.2425955639
6PAG_S6_R2_001	0.634409813652											
6PAG_S6_R2_001_val_2		9.09090909091	32.0				21533280.0		74.0030953018			16.7255233311
6R_FD_S15_R1_001	6.01469550469											
6R_FD_S15_R1_001_val_1		36.3636363636	32.0	40.5682877627	0.5	58.6	12857289.0	5215982.0	68.6050679891	0.7	179603205.0	12.6161321085
6R_FD_S15_R2_001	0.669478091357											
6R_FD_S15_R2_001_val_2		9.09090909091	31.0				12857289.0		72.4709257138			15.5755290844
6_MR_PM_S19_R1_001	8.6345645903											
6_MR_PM_S19_R1_001_val_1		9.09090909091	35.0	40.6528728603	0.5	58.7	15946964.0	6482899.0	68.0991995718	0.6	223307917.0	28.1176610143
6_MR_PM_S19_R2_001	0.677392031422											
6_MR_PM_S19_R2_001_val_2		9.09090909091	33.0				15946964.0		74.0338303893			22.7991141641
7AF_S2_R1_001	5.62344103545											
7AF_S2_R1_001_val_1		36.3636363636	32.0	39.1584560823	0.5	59.0	15171068.0	5940756.0	68.9184096993	0.7	205559484.0	13.4184898385
7AF_S2_R2_001	0.672097220491											
7AF_S2_R2_001_val_2		9.09090909091	31.0				15171068.0		72.5163926495			15.9485041609
7PIL_S7_R1_001	6.52093018368											
7PIL_S7_R1_001_val_1		9.09090909091	33.0	38.3962782152	0.6	63.1	26901287.0	10329093.0	69.2991125666	0.7	369100814.0	21.8485694982
7PIL_S7_R2_001	0.627784666898											
7PIL_S7_R2_001_val_2		9.09090909091	32.0				26901287.0		73.9879639959			20.7647728133
7R_FV_S16_R1_001	5.9124620948											
7R_FV_S16_R1_001_val_1		36.3636363636	33.0	40.5082186316	0.5	58.2	8988966.0	3641270.0	68.7011378172	0.7	125628705.0	10.8557137077
7R_FV_S16_R2_001	0.668417655348											
7R_FV_S16_R2_001_val_2		9.09090909091	31.0				8988966.0		72.4668338939			13.6147050493
7_MR_RC_S20_R1_001	9.34703203897											
7_MR_RC_S20_R1_001_val_1		9.09090909091	35.0	40.1815482056	0.5	58.5	12848268.0	5162633.0	67.7483818052	0.6	177982874.0	26.6953364149
7_MR_RC_S20_R2_001	0.679066043434											
7_MR_RC_S20_R2_001_val_2		9.09090909091	33.0				12848268.0		74.00644834			21.8784328299
8AF_S3_R1_001	4.97469439905											
8AF_S3_R1_001_val_1		36.3636363636	32.0	42.0264197831	0.5	59.9	13900644.0	5841943.0	69.4536542336	0.7	203083129.0	13.0619465633
8AF_S3_R2_001	0.66066196214											
8AF_S3_R2_001_val_2		9.09090909091	31.0				13900644.0		72.515377417			16.2277419449
8PSN_S8_R1_001	6.49625001287											
8PSN_S8_R1_001_val_1		9.09090909091	33.0	39.3239205915	0.6	62.3	27123234.0	10665919.0	69.3060419712	0.6	381528670.0	22.6002244245
8PSN_S8_R2_001	0.627741465482											
8PSN_S8_R2_001_val_2		9.09090909091	32.0				27123234.0		73.9472583542			21.5970297896
8R_BM_S17_R1_001	4.91356374026											
8R_BM_S17_R1_001_val_1		36.3636363636	32.0	42.880816067	0.5	59.1	13150489.0	5639037.0	69.4767520812	0.6	198044826.0	13.7653183536
8R_BM_S17_R2_001	0.659291146442											
8R_BM_S17_R2_001_val_2		9.09090909091	31.0				13150489.0		72.5029837294			17.5215738462
8_MR_MA_S21_R1_001	10.1181179928											
8_MR_MA_S21_R1_001_val_1		9.09090909091	35.0	40.108064382	0.5	58.4	20770581.0	8330678.0	66.8694309514	0.6	285698418.0	32.3273372867
8_MR_MA_S21_R2_001	0.690273097755											
8_MR_MA_S21_R2_001_val_2		9.09090909091	33.0				20770581.0		73.9847827078			26.9323831421
9AF_S4_R1_001	5.04771138271											
9AF_S4_R1_001_val_1		36.3636363636	32.0	43.3052925779	0.5	59.9	17081090.0	7397016.0	69.3942691011	0.6	258033341.0	15.5465699406
9AF_S4_R2_001	0.661913452556											
9AF_S4_R2_001_val_2		9.09090909091	31.0				17081090.0		72.4641927418			18.9385445977
9P_PA_S12_R1_001	5.96560786338											
9P_PA_S12_R1_001_val_1		36.3636363636	32.0	41.1757660463	0.5	59.3	14185271.0	5840894.0	68.6414287045	0.6	201420642.0	14.0054943563
9P_PA_S12_R2_001	0.669027212398											
9P_PA_S12_R2_001_val_2		9.09090909091	31.0				14185271.0		72.4638899038			16.9157195914
9R_MV_S18_R1_001	5.0697611606											
9R_MV_S18_R1_001_val_1		36.3636363636	32.0	44.7727372952	0.5	58.3	13968592.0	6254121.0	69.3565006409	0.6	216743580.0	14.879543906
9R_MV_S18_R2_001	0.658542660452											
9R_MV_S18_R2_001_val_2		9.09090909091	31.0				13968592.0		72.4287795076			19.0211453642
HS10_S10_R1_001	7.28107175928											
HS10_S10_R1_001_val_1		36.3636363636	33.0	39.0369904801	0.5	59.0	19304129.0	7535751.0	67.6919516027	0.7	258903911.0	16.1493394923
HS10_S10_R2_001	0.67642955723											
HS10_S10_R2_001_val_2		9.09090909091	31.0				19304129.0		72.4841394294			18.8637322122
HS11_S11_R1_001	5.76357039836											
HS11_S11_R1_001_val_1		36.3636363636	32.0	40.7625519743	0.5	58.1	12344811.0	5032060.0	68.791249862	0.6	173379329.0	12.3215174842
HS11_S11_R2_001	0.669522662771											
HS11_S11_R2_001_val_2		9.09090909091	31.0				12344811.0		72.5071060221			16.0632684828
HS6_S6_R1_001	5.3643571002											
HS6_S6_R1_001_val_1		36.3636363636	32.0	41.4056138315	0.5	59.0	14578243.0	6036211.0	69.1567089395	0.7	211068287.0	13.110854256
HS6_S6_R2_001	0.666934172832											
HS6_S6_R2_001_val_2		9.09090909091	31.0				14578243.0		72.491428631			16.1557522915
HS7_S7_R1_001	7.1950705526											
HS7_S7_R1_001_val_1		36.3636363636	33.0	39.9671221481	0.5	58.8	30118756.0	12037600.0	67.7168084897	0.6	419233417.0	20.5741857523
HS7_S7_R2_001	0.677742998779											
HS7_S7_R2_001_val_2		9.09090909091	31.0				30118756.0		72.3813838128			23.8514039386
HS8_S8_R1_001	5.41572727555											
HS8_S8_R1_001_val_1		36.3636363636	32.0	42.3273574249	0.5	59.5	14259924.0	6035849.0	69.094078622	0.7	210163323.0	13.465051379
HS8_S8_R2_001	0.667519019625											
HS8_S8_R2_001_val_2		9.09090909091	31.0				14259924.0		72.4875264412			17.6084047149
HS9_S9_R1_001	6.18103275913											
HS9_S9_R1_001_val_1		36.3636363636	32.0	41.5393614235	0.5	58.6	19147745.0	7953851.0	68.549510347	0.6	275304717.0	16.1129828074
HS9_S9_R2_001	0.667409180093											
HS9_S9_R2_001_val_2		9.09090909091	31.0				19147745.0		72.4783027975			19.3686950755
